id_bien,date_vente,valeur_bien,numero_voie,b_t_q,FK_id_type_voie,nom_voie,FK_id_commune,FK_id_type_bien,nbr_pieces,surface_terrain,surface_reelle,surface_carrez
7274,2020-02-05,77850.00,18,,0,FREDERIC BAZILLE,886,2,1,,20,22.78
7275,2020-02-06,202000.00,598,,0,DE FONTCARRADE,887,2,2,,48,48.05
7276,2020-02-05,60000.00,25,,0,ERNEST MICHEL,886,2,1,,14,13.7
7277,2020-02-12,147000.00,109,,0,FRANCIS LOPEZ,888,2,2,,57,55.15
7278,2020-01-24,242319.00,8,,0,BOUSSAIROLLES,886,2,3,,98,97.24
7279,2020-02-06,217000.00,5,,0,DE LORRAINE,887,2,2,,56,57.06
7280,2020-02-17,317000.00,162,,1,SAINT MAURICE,889,2,3,,55,52.16
7281,2020-02-07,108000.00,141,,12,DES ESQUIFS CARNON,890,2,2,,26,26.44
7282,2020-02-12,47500.00,949,,1,DU PROFESSEUR LOUIS RAVAS,885,2,4,,72,65.16
7283,2020-02-19,70000.00,9001,,1,COMTES DE MELGUEIL  CARNON,890,2,1,,24,22.4
7284,2020-02-16,106800.00,23,,0,JULES GUESDE,885,2,3,,70,70.62
7285,2020-02-18,294420.00,29,,0,DES SOURCES,891,1,5,,102,103.69
7286,2020-01-29,164700.00,727,,0,JACQUES BOUNIN,887,2,3,,61,61.33
7287,2020-02-18,268311.00,,,0,DU VIEUX VILLAGE CARNON,890,2,3,,43,46.27
7288,2020-01-27,363050.00,15,B,0,ALBERT CAMUS,892,1,4,,83,80.83
7289,2020-01-20,507000.00,233,,1,THEROIGNE DE MERICOURT,886,2,5,,109,110.18
7290,2020-02-03,118950.00,11,,0,DES ECOLES LAIQUES,886,2,4,,80,41.14
7291,2020-02-20,85500.00,14,,1,EMILE DIACON,888,2,1,,22,22.88
7292,2020-02-19,173000.00,21,,1,ROGER COUDERC,887,2,3,,60,60.98
7293,2020-02-18,109000.00,13,,0,AZEMA,887,2,2,,35,34.8
7294,2020-02-07,98200.00,2,,0,COURTE,889,2,1,,24,24.24
7295,2020-02-14,541500.00,2,,0,ERNEST MICHEL,886,2,4,,177,184.2
7296,2020-02-07,300000.00,17,,0,FONT DE LA ROQUE,893,1,2,515,94,97.15
7297,2020-02-19,76000.00,95,,2,DES COLVERTS,894,2,1,,21,20.8
